month,VV_mean,VV_std,VH_mean,VH_std
1,-10.237379405819645,0.13096860684606795,-16.616730845578036,0.21381818164690314
2,-10.532549344551748,0.13805427801526066,-17.08885365544118,0.25418101024439593
3,-10.463795790823449,0.19833611339589993,-17.243638554429367,0.21485738101342608
4,-10.036631603316819,0.25504878721795593,-16.933327580572485,0.316356564315866
5,-8.900584890890112,0.3266103717275747,-15.711621362551494,0.2919430582421254
6,-8.402322173167224,0.1957351932819737,-15.138327942584088,0.22487966266348894
7,-8.221891185624454,0.19693723103294744,-14.928366532799277,0.22249294673492107
8,-8.139852960706998,0.3803865739618276,-14.816123675917469,0.39724128101496625
9,-8.26305656455264,0.1516403913394506,-14.856459537469526,0.1613154334179414
10,-8.546008385990397,0.22040074283241073,-15.074102176052998,0.2347382777320893
11,-8.978371836358496,0.22793714484734898,-15.421866856125499,0.22002154386708292
12,-9.73538645873448,0.18611691363611682,-16.176800187588853,0.17748504321439704
