ADM1_NAME,s2_ha,s1_ha,s1_s2_ratio
Zamfara,1302.37,112817.81,86.62
Sokoto,8098.05,322323.26,39.8
Katsina,1031.98,36924.58,35.78
Borno,16368.59,410797.69,25.1
Bauchi,9247.54,149376.58,16.15
Gombe,4873.81,41357.35,8.49
Plateau,2595.65,21572.02,8.31
Ekiti,34.46,277.81,8.06
Yobe,63146.09,342999.18,5.43
Oyo,1191.75,6409.76,5.38
Osun,87.92,464.34,5.28
Kaduna,4092.2,19768.76,4.83
Abuja,446.64,2061.11,4.61
Kano,7013.28,23061.37,3.29
Adamawa,25524.02,60711.29,2.38
Kebbi,66748.47,131497.19,1.97
Jigawa,61629.31,99847.4,1.62
Taraba,164363.72,223579.15,1.36
Ondo,1243.29,1438.62,1.16
Imo,3246.01,3486.46,1.07
Cross River,10989.78,10809.28,0.98
Ebonyi,1736.35,1592.61,0.92
Benue,52126.96,46314.69,0.89
Kwara,37398.41,32604.62,0.87
Nassarawa,79864.88,68331.3,0.86
Niger,186560.88,149985.07,0.8
Rivers,20928.43,16581.38,0.79
Ogun,3210.24,2301.87,0.72
Lagos,4978.57,3212.65,0.65
Bayelsa,21639.96,13585.02,0.63
Kogi,173295.7,108464.25,0.63
Akwa Ibom,3102.8,1833.66,0.59
Edo,23451.07,13794.72,0.59
Delta,111756.91,63994.56,0.57
Anambra,86265.16,42906.78,0.5
Enugu,2446.9,524.36,0.21
Abia,523.8,81.14,0.15
