ADM1_NAME,s2_ha,s1_ha,fused_ha,population,pop_affected
Borno,16368.585914497142,410797.6886811526,424362.48564053513,5760657.936266463,299298.0194679595
Yobe,63146.09148088169,342999.1843557989,383515.64003129123,3204225.926368717,309451.24631050817
Sokoto,8098.05202177542,322323.25633723463,327680.88514837757,4884097.850917308,341804.0374219416
Taraba,164363.71911070426,223579.15052732005,289188.7637560416,2918794.28410398,158812.34836458543
Niger,186560.87872887857,149985.06536230072,233480.87921930727,5378856.463250335,188230.89745843742
Kogi,173295.69889643727,108464.25392390971,194618.93290589252,4278479.561088951,331752.7973212138
Kebbi,66748.46866353459,131497.19260622107,172607.73335724248,4271809.574728023,178575.22079284323
Bauchi,9247.536279185466,149376.5760696573,154607.06227543709,6257441.998823846,243825.20307210754
Delta,111756.91010297721,63994.557369750975,141452.76176871022,5440825.102474402,397619.80189420615
Jigawa,61629.31411474035,99847.39603153038,137682.40196768107,5542275.438963794,339179.97595920647
Zamfara,1302.3745345274197,112817.81422865513,113989.15771875049,4279426.290731481,154276.1434048618
Anambra,86265.15578641827,42906.7774716992,97263.3602346873,5226602.9125039,533623.3325167273
Nassarawa,79864.8794320295,68331.30058043839,97175.2242875696,2393344.672838834,75318.058786313
Adamawa,25524.024531285955,60711.28948125178,69896.73597166124,4073075.277790349,144486.39669616308
Benue,52126.95763777171,46314.69385153539,64528.803398443866,5493681.7398261335,116623.64156225184
Kwara,37398.41233401595,32604.621745411787,46617.407723912016,3021553.787065541,43227.95965840516
Gombe,4873.806057299706,41357.35362677082,45513.09647852482,3179001.3577866317,77140.04669568183
Katsina,1031.9769595595897,36924.582049061006,37500.2854025659,7497987.805913814,116193.20091000544
Rivers,20928.43207152919,16581.384137599944,34932.000847931995,6873044.98463765,328821.8783311098
Bayelsa,21639.961847337214,13585.015893831182,31973.15970893304,2270033.8198232097,156180.93252687436
Edo,23451.07227687381,13794.718061692265,28494.94159689699,4036466.9894110826,70173.7459726382
Kano,7013.275634335556,23061.371707136568,26127.752162927784,12676464.695725696,129753.45591321973
Plateau,2595.65396489277,21572.02375374694,23352.00983277154,4102614.318307313,39081.697998331576
Kaduna,4092.1970345393042,19768.758656535323,20915.99471938562,7935917.50488848,43310.39140648833
Cross River,10989.779792685733,10809.279185584022,19751.424455759767,3492411.88762715,38390.37971645158
Lagos,4978.566655014939,3212.647129763328,7793.791165016086,12098571.124407277,384836.24154707545
Oyo,1191.749421081112,6409.757738607917,7423.191616710323,7515738.222993109,34561.35967373173
Imo,3246.014634856764,3486.4627504813925,5870.215897851963,5180661.490676518,20055.862818354602
Ogun,3210.239369763329,2301.87248313266,5053.784809384574,5030680.069556331,36677.338311172
Akwa Ibom,3102.8041342551314,1833.6594219600233,4817.170255510119,5194470.907657856,51931.68503559337
Ebonyi,1736.3539675042107,1592.6081537036587,2701.2517962132324,2754578.276588207,11902.164629472238
Enugu,2446.901210039832,524.3632332651654,2674.2949592156897,4137328.8865217124,8109.16656982852
Ondo,1243.2945324647653,1438.6242570377608,2633.5060703488793,4452269.868549233,7207.612276868143
Abuja,446.6410321262254,2061.1095281893386,2423.334460608532,4186267.538274764,21279.11900308027
Abia,523.8008613978247,81.13843395143995,599.991030212546,3602324.567069335,9507.882924381893
Osun,87.91924827550551,464.34444735179227,537.1951000727635,4515204.3455440225,2226.84927076037
Ekiti,34.46024208984375,277.81244794615503,307.3484550750613,3103646.030885039,1753.258652033759
